id;last_name;marital_status;gender; annual_income ; industry ;zip_code;age_at_issue;member_type;add_members; annual_fee ;payment_type;status;start_month;start_day;start_year;end_month;end_day;end_year
A06901;Hawkins;Married;M; $97.255,00 ;Materials;80202;40;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06894;McKinney;Married;F; $48.345,00 ;Utilities;80202;42;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06850;Brown;Married;M; $37.714,00 ;Unclassified;80202;47;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06562;Clayton;Married;F; $115.645,00 ;Energy;80202;48;Bronze;1; $5.000,00 ;SEMI-ANNUAL;CANCELLED;3;30;2012;11;27;2012
A03478;Bailey;Married;M; $80.807,00 ;Consumer Staples;80202;70;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;3;29;2010;5;25;2011
A08521;Harper;Married;M; $66.854,00 ;Consumer Discretionary;80202;50;Gold;1; $9.000,00 ;MONTHLY;CANCELLED;3;28;2013;8;27;2013
A05567;Clayton;Married;M; $103.127,00 ;Financials;80202;55;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;3;28;2011;5;26;2013
A00347;Ward;Married;M; $68.366,00 ;Unclassified;80202;28;Silver;1; $7.000,00 ;QUARTERLY;CANCELLED;3;26;2008;2;24;2009
A00335;Hardy;Single;F; $86.114,00 ;Unclassified;80202;29;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;3;24;2008;7;20;2008
A06630;Ramsey;Single;M; $91.736,00 ;Telecommunication Services;80202;28;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;3;22;2012;5;21;2013
A03278;Hayes;Married;M; $65.789,00 ;Information Technology;80202;39;Platinum;2; $15.000,00 ;MONTHLY;CANCELLED;3;22;2010;7;19;2010
A05483;Mann;Single;M; $47.592,00 ;Consumer Staples;80202;24;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;3;9;2011;5;8;2012
A01377;Hale;Married;M; $71.234,00 ;Energy;80202;37;Silver;1; $7.000,00 ;SEMI-ANNUAL;CANCELLED;3;9;2009;4;8;2010
A03148;Allison;Married;M; $35.036,00 ;Financials;80202;29;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;4;2010;5;3;2011
A05356;Horton;Married;F; $102.260,00 ;Health Care;80202;46;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;2;28;2011;4;28;2012
A08154;Sparks;Single;M; $68.336,00 ;Energy;80202;30;Platinum;0; $15.000,00 ;SEMI-ANNUAL;CANCELLED;2;27;2013;10;26;2013
A01297;Davidson;Married;F; $54.184,00 ;Telecommunication Services;80202;35;Platinum;2; $15.000,00 ;SEMI-ANNUAL;CANCELLED;2;27;2009;10;27;2009
A02998;Owens;Married;M; $94.974,00 ;Information Technology;80202;38;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;2;18;2010;4;19;2011
A01296;Hale;Married;M; $106.320,00 ;Utilities;80202;34;Gold;3; $9.000,00 ;SEMI-ANNUAL;CANCELLED;2;16;2009;10;15;2009
A05307;Richards;Married;M; $57.024,00 ;Consumer Discretionary;80202;34;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;2;10;2011;4;11;2013
A01282;Morton;Single;M; $77.813,00 ;Energy;80202;63;Silver;0; $7.000,00 ;SEMI-ANNUAL;CANCELLED;2;9;2009;10;8;2010
A06291;Holloway;Single;M; $75.226,00 ;Health Care;80202;23;Platinum;0; $15.000,00 ;SEMI-ANNUAL;CANCELLED;1;19;2012;9;17;2012
A06240;Clayton;Married;M; $51.731,00 ;Telecommunication Services;80202;29;Gold;3; $9.000,00 ;MONTHLY;CANCELLED;1;18;2012;8;17;2013
A02655;Brooks;Married;F; $103.149,00 ;Energy;80202;49;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;1;12;2010;3;13;2011
A05155;Roberson;Married;M; $49.827,00 ;Consumer Discretionary;80203;40;Platinum;1; $15.000,00 ;SEMI-ANNUAL;CANCELLED;12;31;2010;8;27;2011
A02550;Howard;Married;M; $109.236,00 ;Health Care;80203;41;Platinum;3; $15.000,00 ;QUARTERLY;CANCELLED;12;31;2009;8;27;2011
A01175;McCoy;Single;M; $114.469,00 ;Industrials;80203;25;Platinum;0; $15.000,00 ;MONTHLY;CANCELLED;12;31;2008;4;29;2009
A01082;Salazar;Married;M; $83.725,00 ;Financials;80203;35;Bronze;1; $5.000,00 ;SEMI-ANNUAL;CANCELLED;12;31;2008;8;27;2009
A02465;Morris;Married;M; $38.977,00 ;Industrials;80203;49;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;12;30;2009;2;26;2011
A01148;Walters;Married;M; $74.622,00 ;Real Estate;80203;38;Bronze;1; $5.000,00 ;SEMI-ANNUAL;CANCELLED;12;30;2008;8;27;2009
A01118;Elliott;Single;M; $56.972,00 ;Materials;80203;28;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;12;29;2008;4;29;2009
A05132;Curry;Married;M; $53.520,00 ;Utilities;80203;39;Gold;2; $9.000,00 ;SEMI-ANNUAL;CANCELLED;12;28;2010;8;27;2011
A05104;Pope;Single;F; $42.219,00 ;Real Estate;80203;49;Platinum;0; $15.000,00 ;MONTHLY;CANCELLED;12;27;2010;2;25;2012
A01057;Young;Married;M; $68.766,00 ;Telecommunication Services;80203;40;Bronze;2; $5.000,00 ;MONTHLY;CANCELLED;12;22;2008;4;21;2009
A02435;Jacobs;Married;M; $86.167,00 ;Financials;80203;57;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;12;18;2009;2;16;2012
A00081;Hopkins;Married;F; $70.198,00 ;Real Estate;80203;56;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;12;17;2007;2;15;2011
A01037;King;Married;F; $89.724,00 ;Consumer Discretionary;80203;23;Bronze;3; $5.000,00 ;MONTHLY;CANCELLED;12;10;2008;4;11;2009
A02437;Terry;Married;M; $44.438,00 ;Consumer Discretionary;80203;61;Platinum;3; $15.000,00 ;SEMI-ANNUAL;CANCELLED;12;9;2009;8;8;2010
A05042;Hayes;Married;M; $59.544,00 ;Consumer Staples;80203;46;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;12;3;2010;1;2;2013
A05044;Burgess;Married;M; $46.637,00 ;Energy;80203;36;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;11;30;2010;12;28;2011
A04991;Moody;Married;M; $45.239,00 ;Consumer Discretionary;80203;62;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;11;23;2010;1;22;2012
A00876;Marsh;Married;M; $88.327,00 ;Consumer Staples;80203;46;Bronze;1; $5.000,00 ;SEMI-ANNUAL;CANCELLED;10;31;2008;6;27;2009
A04920;Vaughn;Married;M; $48.027,00 ;Consumer Discretionary;80203;48;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;10;26;2010;11;25;2011
A04866;Stanley;Married;F; $106.102,00 ;Materials;80203;52;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;10;13;2010;11;12;2011
A05982;Buchanan;Single;M; $69.894,00 ;Materials;80203;28;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;9;30;2011;11;27;2012
A05972;Santos;Married;F; $48.149,00 ;Materials;80203;51;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;9;28;2011;10;28;2012
A02008;McKinney;Married;M; $76.616,00 ;Real Estate;80203;46;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;9;24;2009;11;23;2010
A00770;Caldwell;Single;M; $91.904,00 ;Utilities;80203;24;Gold;0; $9.000,00 ;SEMI-ANNUAL;CANCELLED;9;22;2008;5;21;2009
A04765;Maldonado;Married;M; $103.117,00 ;Health Care;80203;36;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;9;20;2010;11;19;2012
A02067;Sparks;Single;M; $51.114,00 ;Financials;80203;27;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;9;10;2009;11;9;2010
A04722;Bryant;Married;M; $38.270,00 ;Utilities;80203;30;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;8;31;2010;10;27;2011
A02026;Burgess;Married;M; $75.213,00 ;Consumer Staples;80203;45;Bronze;2; $5.000,00 ;MONTHLY;CANCELLED;8;31;2009;12;27;2009
A00704;Wright;Married;M; $84.772,00 ;Consumer Staples;80203;52;Silver;3; $7.000,00 ;SEMI-ANNUAL;CANCELLED;8;27;2008;4;28;2009
A00678;Haynes;Widowed;F; $52.000,00 ;Financials;80203;57;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;8;27;2008;12;26;2008
A05890;Pearson;Married;F; $65.460,00 ;Materials;80203;49;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;8;17;2011;9;16;2012
A00665;Davidson;Married;M; $81.364,00 ;Financials;80203;29;Bronze;1; $5.000,00 ;MONTHLY;CANCELLED;8;14;2008;12;13;2008
A01951;Powers;Married;M; $109.914,00 ;Energy;80203;37;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;8;10;2009;10;9;2010
A00619;Medina;Married;F; $98.430,00 ;Financials;80203;40;Bronze;3; $5.000,00 ;SEMI-ANNUAL;CANCELLED;7;25;2008;9;23;2011
A04220;Bates;Married;M; $92.548,00 ;Industrials;80203;37;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;7;15;2010;9;13;2011
A01841;Day;Married;M; $77.869,00 ;Health Care;80203;43;Platinum;2; $15.000,00 ;QUARTERLY;CANCELLED;7;9;2009;12;8;2009
A04189;Garcia;Married;M; $112.439,00 ;Telecommunication Services;80203;42;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;7;7;2010;9;5;2011
A04192;Graves;Married;M; $45.686,00 ;Consumer Discretionary;80203;49;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;7;7;2010;9;5;2011
A01839;Weaver;Married;F; $46.154,00 ;Health Care;80203;38;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;7;3;2009;9;1;2011
A05816;Summers;Married;M; $88.113,00 ;Health Care;80203;42;Platinum;3; $15.000,00 ;MONTHLY;CANCELLED;6;30;2011;1;27;2013
A05830;Graham;Married;M; $63.413,00 ;Utilities;80203;47;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;6;30;2011;7;28;2012
A00562;McGee;Single;M; $50.552,00 ;Consumer Staples;80203;26;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;6;30;2008;8;27;2009
A00539;Black;Married;M; $73.165,00 ;Utilities;80203;46;Silver;3; $7.000,00 ;SEMI-ANNUAL;CANCELLED;6;30;2008;2;26;2009
A07066;Huff;Married;M; $60.509,00 ;Information Technology;80203;42;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;6;22;2012;8;21;2013
A04061;Olson;Married;F; $101.412,00 ;Consumer Discretionary;80203;57;Bronze;3; $5.000,00 ;SEMI-ANNUAL;CANCELLED;6;16;2010;8;15;2012
A04045;Stephens;Married;M; $36.738,00 ;Consumer Discretionary;80203;39;Gold;3; $9.000,00 ;MONTHLY;CANCELLED;6;11;2010;10;10;2010
A00508;Saunders;Single;M; $111.616,00 ;Industrials;80203;27;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;5;30;2008;5;27;2009
A03968;Waters;Married;M; $101.643,00 ;Utilities;80203;45;Bronze;3; $5.000,00 ;MONTHLY;CANCELLED;5;28;2010;9;26;2010
A01695;Blake;Single;M; $55.708,00 ;Consumer Discretionary;80203;40;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;5;22;2009;7;21;2010
A07002;Taylor;Married;M; $63.785,00 ;Utilities;80203;36;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;5;14;2012;6;11;2013
A00491;Weaver;Married;M; $56.278,00 ;Consumer Discretionary;80203;41;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;5;14;2008;7;13;2011
A00466;McLaughlin;Married;M; $76.668,00 ;Industrials;80203;36;Platinum;2; $15.000,00 ;MONTHLY;CANCELLED;4;29;2008;8;27;2008
A05724;Nichols;Married;M; $100.764,00 ;Energy;80203;54;Platinum;1; $15.000,00 ;SEMI-ANNUAL;CANCELLED;4;25;2011;12;24;2011
A01621;Reid;Married;M; $66.321,00 ;Consumer Staples;80203;47;Bronze;3; $5.000,00 ;QUARTERLY;CANCELLED;4;15;2009;9;9;2009
A05662;Cortez;Divorced;F; $68.194,00 ;Materials;80203;37;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;4;13;2011;5;27;2013
A05609;Garza;Married;M; $117.064,00 ;Financials;80203;39;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;31;2011;5;27;2012
A05700;Rios;Married;M; $97.201,00 ;Consumer Discretionary;80203;47;Gold;1; $9.000,00 ;SEMI-ANNUAL;CANCELLED;3;31;2011;10;28;2013
A05651;Duncan;Married;M; $117.353,00 ;Industrials;80203;58;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;31;2011;5;27;2013
A03603;Hudson;Married;M; $82.231,00 ;Materials;80203;45;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;31;2010;5;27;2011
A00350;Green;Married;M; $52.307,00 ;Utilities;80203;33;Bronze;1; $5.000,00 ;MONTHLY;CANCELLED;3;31;2008;7;27;2008
A06639;Abbott;Single;M; $45.076,00 ;Real Estate;80203;22;Gold;0; $9.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06819;Wilson;Married;F; $93.840,00 ;Industrials;80203;43;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;3;30;2012;5;27;2013
A06754;Vasquez;Married;M; $111.813,00 ;Energy;80203;69;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;3;27;2012;5;26;2013
A01494;Blair;Married;M; $94.936,00 ;Unclassified;80203;35;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;3;26;2009;5;25;2010
A08424;Harris;Married;M; $116.743,00 ;Energy;80203;39;Platinum;2; $15.000,00 ;SEMI-ANNUAL;CANCELLED;3;25;2013;10;25;2013
A05590;Malone;Married;M; $101.314,00 ;Financials;80203;36;Platinum;1; $15.000,00 ;QUARTERLY;CANCELLED;3;25;2011;7;25;2011
A05533;Chambers;Single;M; $54.187,00 ;Information Technology;80203;24;Platinum;0; $15.000,00 ;ANNUAL;CANCELLED;3;23;2011;5;22;2012
A03364;McCoy;Married;M; $109.895,00 ;Consumer Discretionary;80203;27;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;3;23;2010;5;22;2011
A03383;Jimenez;Married;M; $116.286,00 ;Energy;80203;35;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;3;23;2010;5;22;2011
A06707;Padilla;Single;M; $99.409,00 ;Consumer Staples;80203;19;Bronze;0; $5.000,00 ;ANNUAL;CANCELLED;3;20;2012;5;19;2013
A06620;Daniels;Single;M; $76.374,00 ;Real Estate;80203;30;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;3;16;2012;5;15;2013
A06608;Parsons;Married;M; $114.924,00 ;Energy;80203;43;Silver;2; $7.000,00 ;ANNUAL;CANCELLED;3;16;2012;5;15;2013
A01314;Waters;Married;M; $66.226,00 ;Telecommunication Services;80203;51;Bronze;1; $5.000,00 ;ANNUAL;CANCELLED;3;16;2009;5;15;2010
A01415;Sparks;Married;M; $50.056,00 ;Health Care;80203;55;Bronze;2; $5.000,00 ;SEMI-ANNUAL;CANCELLED;3;16;2009;11;13;2009
A03193;Rowe;Married;M; $74.648,00 ;Information Technology;80203;40;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;3;15;2010;5;12;2011
A05491;Graves;Married;M; $60.272,00 ;Consumer Discretionary;80203;51;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;3;10;2011;4;8;2012
A03202;Riley;Married;M; $113.830,00 ;Utilities;80203;54;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;3;9;2010;5;8;2011
A06421;Herrera;Married;M; $61.978,00 ;Real Estate;80203;33;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;2;17;2012;4;18;2013
A06353;Martin;Married;M; $61.498,00 ;Unclassified;80203;50;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;2;17;2012;4;18;2013
A02989;Hamilton;Married;M; $70.475,00 ;Real Estate;80203;34;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;2;17;2010;4;18;2011
A05363;Carson;Married;M; $59.864,00 ;Materials;80203;40;Platinum;3; $15.000,00 ;SEMI-ANNUAL;CANCELLED;2;10;2011;9;7;2011
A05239;Hammond;Married;M; $109.961,00 ;Consumer Staples;80203;46;Gold;2; $9.000,00 ;ANNUAL;CANCELLED;1;31;2011;3;28;2012
A08012;Stephens;Married;M; $41.374,00 ;Real Estate;80203;44;Bronze;2; $5.000,00 ;SEMI-ANNUAL;CANCELLED;1;30;2013;9;26;2013
A05261;Carlson;Married;M; $116.885,00 ;Unclassified;80203;42;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;1;28;2011;2;27;2012
A05249;Gomez;Married;M; $79.299,00 ;Information Technology;80203;41;Platinum;2; $15.000,00 ;ANNUAL;CANCELLED;1;25;2011;2;24;2012
A00158;Brown;Single;M; $48.617,00 ;Utilities;80203;49;Silver;0; $7.000,00 ;ANNUAL;CANCELLED;1;22;2008;3;23;2010
A05212;Harper;Married;M; $71.620,00 ;Unclassified;80203;44;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;1;21;2011;3;21;2012
A02677;Hernandez;Married;M; $50.770,00 ;Consumer Discretionary;80203;44;Platinum;3; $15.000,00 ;ANNUAL;CANCELLED;1;18;2010;3;19;2011
A06256;Lambert;Married;M; $67.326,00 ;Health Care;80203;50;Silver;2; $7.000,00 ;MONTHLY;CANCELLED;1;12;2012;7;11;2013
A02654;Parker;Married;F; $87.774,00 ;Utilities;80203;35;Bronze;3; $5.000,00 ;ANNUAL;CANCELLED;1;12;2010;3;13;2011
A05225;Gibbs;Married;M; $109.803,00 ;Industrials;80203;40;Silver;3; $7.000,00 ;ANNUAL;CANCELLED;1;7;2011;2;6;2012
A01186;Hernandez;Single;M; $55.416,00 ;Real Estate;80203;33;Silver;0; $7.000,00 ;MONTHLY;CANCELLED;1;7;2009;5;6;2009
A02501;Neal;Married;F; $92.544,00 ;Real Estate;80203;51;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;1;6;2010;3;7;2011
A05193;Hardy;Married;M; $60.075,00 ;Telecommunication Services;80204;33;Gold;1; $9.000,00 ;ANNUAL;CANCELLED;12;31;2010;2;26;2012
A02673;Ortiz;Married;M; $59.031,00 ;Materials;80204;22;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;12;31;2009;2;26;2011
A05137;Spencer;Married;F; $92.570,00 ;Consumer Discretionary;80204;40;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;12;24;2010;2;22;2012
A06075;Morrison;Married;M; $108.744,00 ;Utilities;80204;25;Silver;3; $7.000,00 ;MONTHLY;CANCELLED;12;19;2011;3;5;2012
A01026;Wells;Married;M; $110.745,00 ;Consumer Staples;80204;53;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;12;15;2008;2;11;2010
A07649;McGuire;Married;M; $104.615,00 ;Utilities;80204;56;Gold;2; $9.000,00 ;MONTHLY;CANCELLED;12;11;2012;10;26;2013
A01035;Bryan;Married;M; $115.094,00 ;Industrials;80204;36;Silver;2; $7.000,00 ;MONTHLY;CANCELLED;12;10;2008;3;10;2010
A06160;Wilson;Married;F; $86.480,00 ;Real Estate;80204;25;Gold;1; $9.000,00 ;SEMI-ANNUAL;CANCELLED;12;8;2011;2;6;2013
A06139;Goodman;Married;M; $56.365,00 ;Financials;80204;37;Platinum;1; $15.000,00 ;ANNUAL;CANCELLED;11;30;2011;1;27;2013
A06128;Simon;Married;M; $44.809,00 ;Consumer Staples;80204;47;Bronze;2; $5.000,00 ;ANNUAL;CANCELLED;11;30;2011;12;28;2012
A02385;Cox;Married;M; $88.621,00 ;Financials;80204;49;Gold;3; $9.000,00 ;ANNUAL;CANCELLED;11;30;2009;1;27;2011
A02314;Gutierrez;Married;M; $78.771,00 ;Financials;80204;36;Bronze;2; $5.000,00 ;SEMI-ANNUAL;CANCELLED;11;12;2009;1;11;2011
A00947;Morrison;Married;M; $101.625,00 ;Utilities;80204;37;Silver;1; $7.000,00 ;ANNUAL;CANCELLED;11;11;2008;1;10;2010
